cid,community_name,county,initial_fhbm_date,initial_firm_date,current_map_date,regular_emergency_program_date,is_tribal,fips,duns,is_csc,csc_level,crs_member,crs_community_number,crs_entry_date,current_effective_date,current_class,discount_sfha,discount_non_sfha,status,nfip_standing,community_assistance_visit,community_assistance_call,current_nfip_ordinance,nfip_ordinance_adoption,nfip_administrator_name
361531,"BURDETT, VILLAGE OF",SCHUYLER COUNTY,07/30/76,06/01/88,06/01/88(L),06/01/88,No,,,,,No,,,,,,,,,,,,,
361394#,"BURKE, TOWN OF",FRANKLIN COUNTY,01/03/75,02/19/86,02/19/86(M),02/19/86,No,,,,,No,,,,,,,,,,,,,
361479,"BURKE, VILLAGE OF",FRANKLIN COUNTY,01/03/75,,(NSFHA),02/14/85,No,,,,,No,,,,,,,,,,,,,
361416A,"BURLINGTON, TOWN OF",OTSEGO COUNTY,11/22/74,10/21/83,03/21/17(M),10/21/83,No,,,,,No,,,,,,,,,,,,,
361098,"BURNS, TOWN OF",ALLEGANY COUNTY,11/08/74,07/16/82,07/16/82(M),07/16/82,No,,,,,No,,,,,,,,,,,,,
361106#,"BUSTI, TOWN OF",CHAUTAUQUA COUNTY,10/18/74,03/18/80,01/20/93,03/18/80,No,,,,,No,,,,,,,,,,,,,
361445,"BUTLER, TOWN OF",WAYNE COUNTY,11/29/74,07/09/82,07/09/82(M),07/09/82,No,,,,,No,,,,,,,,,,,,,
361247A,"BUTTERNUTS, TOWN OF",OTSEGO COUNTY,12/13/74,12/23/83,03/21/17,12/23/83,No,,,,,No,,,,,,,,,,,,,
361139,"BYRON, TOWN OF",GENESEE COUNTY,12/06/74,02/01/88,02/01/88(L),02/01/88,No,,,,,No,,,,,,,,,,,,,
360286B,"CAIRO, TOWN OF",GREENE COUNTY,12/20/74,09/06/89,06/02/15,09/06/89,No,,,Yes,,No,,,,,,,,,,,,,
361411#,"CALEDONIA, TOWN OF",LIVINGSTON COUNTY,01/10/75,06/01/81,06/01/81,06/01/81,No,,,,,No,,,,,,,,,,,,,
360381#,"CALEDONIA, VILLAGE OF",LIVINGSTON COUNTY,02/07/75,06/01/81,06/01/81,06/01/81,No,,,,,No,,,,,,,,,,,,,
360816#,"CALLICOON, TOWN OF",SULLIVAN COUNTY,06/14/74,03/23/84,02/18/11,03/23/84,No,,,,,No,,,,,,,,,,,,,
360499#,"CAMBRIA, TOWN OF",NIAGARA COUNTY,04/12/74,09/30/83,09/17/10,09/30/83,No,,,,,No,,,,,,,,,,,,,
361223,"CAMBRIDGE, TOWN OF",WASHINGTON COUNTY,10/25/74,09/04/85,09/04/85(M),09/04/85,No,,,,,No,,,,,,,,,,,,,
360883#,"CAMBRIDGE, VILLAGE OF",WASHINGTON COUNTY,05/03/74,04/17/85,01/02/08,04/17/85,No,,,,,No,,,,,,,,,,,,,
360523#,"CAMDEN, TOWN OF",ONEIDA COUNTY,09/06/74,05/01/85,09/27/13,05/01/85,No,,,,,No,,,,,,,,,,,,,
360993#,"CAMDEN, VILLAGE OF",ONEIDA COUNTY,06/21/74,08/16/88,09/27/13,08/16/88,No,,,,,No,,,,,,,,,,,,,
361208#,"CAMERON, TOWN OF",STEUBEN COUNTY,01/10/75,12/18/84,05/15/91,12/18/84,No,,,,,No,,,,,,,,,,,,,
360570A,"CAMILLUS, TOWN OF",ONONDAGA COUNTY,09/06/74,06/15/81,11/04/16,06/15/81,No,,,,,Yes,360570,10/1/1996,10/1/2001,10,0,0,R,,,,,,
360571A,"CAMILLUS, VILLAGE OF",ONONDAGA COUNTY,07/30/76,08/03/81,11/04/16,08/03/81,No,,,,,No,,,,,,,,,,,,,
360768#,"CAMPBELL, TOWN OF",STEUBEN COUNTY,05/31/74,09/17/80,06/11/82,09/17/80,No,,,Yes,,No,,,,,,,,,,,,,
361313#,"CANAAN, TOWN OF",COLUMBIA COUNTY,11/01/74,07/03/85,07/03/85(M),07/03/85,No,,,,,No,,,,,,,,,,,,,
361297#,"CANADICE, TOWN OF",ONTARIO COUNTY,11/08/74,05/15/84,05/15/84,05/15/84,No,,,,,No,,,,,,,,,,,,,
360442A,"CANAJOHARIE, TOWN OF",MONTGOMERY COUNTY,05/03/74,01/06/83,01/19/18,01/06/83,No,,,,,No,,,,,,,,,,,,,
360443A,"CANAJOHARIE, VILLAGE OF",MONTGOMERY COUNTY,02/22/74,11/03/82,01/19/18,11/03/82,No,,,,,No,,,,,,,,,,,,,
360597#,"CANANDAIGUA, CITY OF",ONTARIO COUNTY,03/08/74,04/01/81,09/24/82,04/01/81,No,,,Yes,Bronze Certified,Yes,360597,10/1/2016,10/1/2016,8,10,5,C,,,,,,
360598#,"CANANDAIGUA, TOWN OF",ONTARIO COUNTY,06/28/74,04/17/78,03/03/97,04/17/78,No,,,Yes,,No,,,,,,,,,,,,,
360027,"CANASERAGA, VILLAGE OF",ALLEGANY COUNTY,05/10/74,03/26/76,12/02/83(M),12/02/83,No,,,,,No,,,,,,,,,,,,,
360393#,"CANASTOTA , VILLAGE OF",MADISON COUNTY,03/29/74,05/01/85,04/15/88,05/01/85,No,,,,,No,,,,,,,,,,,,,
360833#,"CANDOR, TOWN OF",TIOGA COUNTY,08/02/74,08/19/86,04/17/12,08/19/86,No,,,,,No,,,,,,,,,,,,,
360834#,"CANDOR, VILLAGE OF",TIOGA COUNTY,05/31/74,10/01/91,04/17/12(M),10/01/91,No,,,,,No,,,,,,,,,,,,,
360028#,"CANEADEA, TOWN OF",ALLEGANY COUNTY,05/31/74,08/20/82,08/20/82(M),08/20/82,No,,,,,No,,,,,,,,,,,,,
360769#,"CANISTEO, TOWN OF",STEUBEN COUNTY,12/20/74,12/18/84,12/18/84,12/18/84,No,,,,,No,,,,,,,,,,,,,
360770,"CANISTEO, VILLAGE OF",STEUBEN COUNTY,12/20/74,05/18/79,05/18/79(M),05/18/79,No,,,,,No,,,,,,,,,,,,,
361172#,"CANTON, TOWN OF",ST. LAWRENCE COUNTY,11/22/74,06/02/93,08/17/98,12/19/84,No,,,,,No,,,,,,,,,,,,,
360697#,"CANTON, VILLAGE OF",ST. LAWRENCE COUNTY,08/16/74,05/01/85,05/02/94,05/01/85,No,,,Yes,,No,,,,,,,,,,,,,
361062,"CAPE VINCENT, TOWN OF",JEFFERSON COUNTY,02/13/76,01/01/88,06/02/92,01/01/88,No,,,,,No,,,,,,,,,,,,,
361574,"CAPE VINCENT, VILLAGE OF",JEFFERSON COUNTY,05/21/76,04/17/85,04/17/85(M),04/17/85,No,,,,,No,,,,,,,,,,,,,
361193#,"CARLISLE, TOWN OF",SCHOHARIE COUNTY,09/20/74,09/01/88,04/02/04,09/01/88,No,,,,,No,,,,,,,,,,,,,
360642#,"CARLTON, TOWN OF",ORLEANS COUNTY,08/02/74,11/01/78,11/01/78,11/01/78,No,,,,,No,,,,,,,,,,,,,
360669#,"CARMEL, TOWN OF",PUTNAM COUNTY,09/13/74,06/18/87,03/04/13,06/18/87,No,,,,,No,,,,,,,,,,,,,
361129,"CAROGA, TOWN OF",FULTON COUNTY,11/08/74,07/18/85,07/18/85(M),07/18/85,No,,,,,No,,,,,,,,,,,,,
360843,"CAROLINE, TOWN OF",TOMPKINS COUNTY,09/06/74,06/19/85,06/19/85(M),06/19/85,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
360994#,"CARROLL, TOWN OF",CHAUTAUQUA COUNTY,09/20/74,10/29/82,10/29/82(M),10/29/82,No,,,,,No,,,,,,,,,,,,,
360063,"CARROLLTON, TOWN OF",CATTARAUGUS COUNTY,09/20/74,03/18/83,03/18/83(M),03/18/83,No,,,,,No,,,,,,,,,,,,,
360995#,"CARTHAGE, VILLAGE OF",JEFFERSON COUNTY,05/10/74,01/03/86,06/17/91,01/03/86,No,,,,,No,,,,,,,,,,,,,
361053#,"CASSADAGA, VILLAGE OF",CHAUTAUQUA COUNTY,05/31/74,12/01/77,12/01/77,12/01/77,No,,,,,No,,,,,,,,,,,,,
361243,"CASTILE, TOWN OF",WYOMING COUNTY,12/27/74,12/23/83,12/23/83(M),12/23/83,No,,,,,No,,,,,,,,,,,,,
361563,"CASTILE, VILLAGE OF",WYOMING COUNTY,02/28/75,05/28/82,05/28/82(M),05/28/82,No,,,,,No,,,,,,,,,,,,,
360673#,"CASTLETON-ON-HUDSON, VILLAGE OF",RENSSELAER COUNTY,03/01/74,11/15/84,11/15/84,11/15/84,No,,,,,No,,,,,,,,,,,,,
360359,"CASTORLAND, VILLAGE OF",LEWIS COUNTY,03/26/76,,(NSFHA),09/30/76,No,,,,,No,,,,,,,,,,,,,
360745,"CATHARINE, TOWN OF",SCHUYLER COUNTY,05/31/74,04/20/84,04/20/84(M),04/20/84,No,,,,,No,,,,,,,,,,,,,
361055,"CATLIN, TOWN OF",CHEMUNG COUNTY,08/02/74,06/22/84,06/22/84(M),06/22/84,No,,,,,Yes,3601055,10/1/1991,10/1/1997,10,0,0,R,,,,,,
360105#,"CATO, TOWN OF",CAYUGA COUNTY,08/02/74,06/22/79,08/02/07,06/22/79,No,,,,,No,,,,,,,,,,,,,
360106#,"CATO, VILLAGE OF",CAYUGA COUNTY,06/14/74,08/08/80,08/02/07,08/08/80,No,,,,,No,,,,,,,,,,,,,
361539#,"CATON, TOWN OF",STEUBEN COUNTY,03/17/78,03/23/84,03/23/84(M),03/23/84,No,,,,,No,,,,,,,,,,,,,
361116#,"CATSKILL, TOWN OF",GREENE COUNTY,12/27/74,02/16/90,05/16/08,02/16/90,No,,,,,No,,,,,,,,,,,,,
360287#,"CATSKILL, VILLAGE OF",GREENE COUNTY,03/01/74,09/06/89,05/16/08,09/06/89,No,,,,,No,,,,,,,,,,,,,
361367,"CATTARAUGUS, VILLAGE OF",CATTARAUGUS COUNTY,02/21/75,04/20/84,04/20/84(M),04/20/84,No,,,,,No,,,,,,,,,,,,,
361594,"CAYUGA HEIGHTS, VILLAGE OF",TOMPKINS COUNTY,,,(NSFHA),01/31/83,No,,,Yes,,No,,,,,,,,,,,,,
360107#,"CAYUGA, VILLAGE OF",CAYUGA COUNTY,01/09/74,07/05/77,08/02/07,07/05/77,No,,,,,No,,,,,,,,,,,,,
361203,"CAYUTA, TOWN OF",SCHUYLER COUNTY,11/15/74,09/24/84,09/24/84(M),09/24/84,No,,,,,No,,,,,,,,,,,,,
361290#,"CAZENOVIA, TOWN OF",MADISON COUNTY,11/22/74,06/19/85,06/19/85,06/19/85,No,,,Yes,,No,,,,,,,,,,,,,
360394#,"CAZENOVIA, VILLAGE OF",MADISON COUNTY,02/22/74,06/19/85,06/19/85,06/19/85,No,,,Yes,,No,,,,,,,,,,,,,
360460#,"CEDARHURST, VILLAGE OF",NASSAU COUNTY,04/02/76,09/01/83,09/11/09,09/01/83,No,,,,,No,,,,,,,,,,,,,
360135#,"CELORON, VILLAGE OF",CHAUTAUQUA COUNTY,02/15/74,03/18/80,03/18/80,03/18/80,No,,,,,No,,,,,,,,,,,,,
360647#,"CENTRAL SQUARE, VILLAGE OF",OSWEGO COUNTY,05/17/74,06/18/13,(NSFHA),11/20/85,No,,,,,No,,,,,,,,,,,,,
360461#,"CENTRE ISLAND, VILLAGE OF",NASSAU COUNTY,08/09/74,10/18/83,09/11/09,10/18/83,No,,,,,No,,,,,,,,,,,,,
360328#,"CHAMPION, TOWN OF",JEFFERSON COUNTY,05/13/74,07/16/82,06/02/93,07/16/82,No,,,,,No,,,,,,,,,,,,,
361311#,"CHAMPLAIN, TOWN OF",CLINTON COUNTY,11/12/76,09/04/87,09/28/07,09/04/87,No,,,,,No,,,,,,,,,,,,,
360167#,"CHAMPLAIN, VILLAGE OF",CLINTON COUNTY,05/31/74,06/05/85,09/28/07,06/05/85,No,,,,,No,,,,,,,,,,,,,
360444A,"CHARLESTON, TOWN OF",MONTGOMERY COUNTY,07/26/74,10/15/85,01/19/18(M),10/15/85,No,,,,,No,,,,,,,,,,,,,
361070,"CHARLOTTE, TOWN OF",CHAUTAUQUA COUNTY,10/18/74,03/23/83,03/23/84(M),03/23/84,No,,,,,No,,,,,,,,,,,,,
360712#,"CHARLTON, TOWN OF",SARATOGA COUNTY,07/19/74,07/18/85,08/16/95,07/18/85,No,,,,,No,,,,,,,,,,,,,
361481,"CHATEAUGAY, VILLAGE OF",FRANKLIN COUNTY,01/03/75,,(NSFHA),02/14/85,No,,,,,No,,,,,,,,,,,,,
361314#,"CHATHAM, TOWN OF",COLUMBIA COUNTY,06/10/77,12/15/82,09/15/93,12/15/82,No,,,Yes,,No,,,,,,,,,,,,,
361523#,"CHATHAM, VILLAGE OF",COLUMBIA COUNTY,12/06/74,12/15/82,12/15/82,12/15/82,No,,,,,No,,,,,,,,,,,,,
360329#,"CHAUMONT, VILLAGE OF",JEFFERSON COUNTY,05/17/74,08/05/85,09/08/99,08/05/85,No,,,,,No,,,,,,,,,,,,,
361071#,"CHAUTAUQUA, TOWN OF",CHAUTAUQUA COUNTY,01/24/75,06/15/84,06/15/84,06/15/84,No,,,,,No,,,,,,,,,,,,,
361310#,"CHAZY, TOWN OF",CLINTON COUNTY,08/05/77,05/19/87,09/28/07,05/19/87,No,,,,,No,,,,,,,,,,,,,
360231B,"CHEEKTOWAGA, TOWN OF",ERIE COUNTY,09/07/73,07/05/77,06/07/19,07/05/77,No,,,,,No,,,,,,,,,,,,,
360149#,"CHEMUNG, TOWN OF",CHEMUNG COUNTY,10/12/73,09/03/80,09/03/80,09/03/80,No,,,,,Yes,360149,10/1/1991,5/1/2008,9,5,5,C,,,,,,
360040#,"CHENANGO, TOWN OF",BROOME COUNTY,03/08/74,08/17/81,08/17/81,08/17/81,No,,,,,Yes,360040,5/1/2016,5/1/2016,9,5,5,C,,,,,,
361107#,"CHERRY CREEK, TOWN OF",CHAUTAUQUA COUNTY,05/12/78,07/02/82,07/02/82(M),07/02/82,No,,,,,No,,,,,,,,,,,,,
360136#,"CHERRY CREEK, VILLAGE OF",CHAUTAUQUA COUNTY,09/10/76,02/15/78,02/15/78,08/08/78,No,,,,,No,,,,,,,,,,,,,
361269A,"CHERRY VALLEY, TOWN OF",OTSEGO COUNTY,10/18/74,02/01/88,03/21/17(M),02/01/88,No,,,,,No,,,,,,,,,,,,,
361449A,"CHERRY VALLEY, VILLAGE OF",OTSEGO COUNTY,11/15/74,01/03/86,03/21/17(M),01/03/86,No,,,Yes,,No,,,,,,,,,,,,,
360609,"CHESTER, TOWN OF",WARREN COUNTY,02/06/76,06/05/85,06/05/85(M),06/05/85,No,,,Yes,,No,,,,,,,,,,,,,
360870#,"CHESTER, TOWN OF",ORANGE COUNTY,04/12/74,09/18/86,08/03/09,09/18/86,No,,,,,No,,,,,,,,,,,,,
361541#,"CHESTER, VILLAGE OF",ORANGE COUNTY,01/17/75,09/18/86,08/03/09,09/18/86,No,,,,,No,,,,,,,,,,,,,
360264#,"CHESTERFIELD, TOWN OF",ESSEX COUNTY,09/06/74,05/04/87,05/04/87,05/04/87,No,,,,,No,,,,,,,,,,,,,
361615#,"CHESTNUT RIDGE, VILLAGE OF",ROCKLAND COUNTY,,09/16/88,03/03/14,09/16/88,No,,,,,No,,,,,,,,,,,,,
360412#,"CHILI, TOWN OF",MONROE COUNTY,,02/01/79,08/28/08,02/01/79,No,,,,,No,,,,,,,,,,,,,
360395#,"CHITTENANGO, VILLAGE OF",MADISON COUNTY,02/15/74,02/01/85,02/01/85(M),02/01/85,No,,,,,No,,,,,,,,,,,,,
360999#,"CHURCHVILLE, VILLAGE OF",MONROE COUNTY,06/28/74,08/03/81,08/28/08,08/03/81,No,,,,,No,,,,,,,,,,,,,
360572A,"CICERO, TOWN OF",ONONDAGA COUNTY,11/01/74,04/04/83,11/04/16,04/04/83,No,,,,,No,,,,,,,,,,,,,
360177#,"CINCINNATUS, TOWN OF",CORTLAND COUNTY,04/05/74,05/15/85,03/02/10,05/15/85,No,,,,,No,,,,,,,,,,,,,
361422,"CLARE, TOWN OF",ST. LAWRENCE COUNTY,01/03/75,07/16/82,07/16/82(M),07/16/82,No,,,,,No,,,,,,,,,,,,,
360232B,"CLARENCE, TOWN OF",ERIE COUNTY,05/17/74,04/01/82,06/07/19,04/01/82,No,,,,,No,,,,,,,,,,,,,
361254,"CLARENDON, TOWN OF",ORLEANS COUNTY,03/28/75,,(NSFHA),01/31/83,No,,,Yes,,No,,,,,,,,,,,,,
360413#,"CLARKSON, TOWN OF",MONROE COUNTY,06/14/74,01/06/82,08/28/08,01/06/82,No,,,,,No,,,,,,,,,,,,,
360679#,"CLARKSTOWN, TOWN OF",ROCKLAND COUNTY,04/12/74,03/02/83,03/03/14,03/02/83,No,,,Yes,,No,,,,,,,,,,,,,
361461,"CLARKSVILLE, TOWN OF",ALLEGANY COUNTY,11/15/74,11/12/82,11/12/82(M),11/12/82,No,,,,,No,,,,,,,,,,,,,
360173#,"CLAVERACK, TOWN OF",COLUMBIA COUNTY,05/03/74,09/06/89,09/06/89,09/06/89,No,,,,,No,,,,,,,,,,,,,
360573A,"CLAY, TOWN OF",ONONDAGA COUNTY,07/01/77,04/01/80,11/04/16,04/01/80,No,,,,,No,,,,,,,,,,,,,
360330,"CLAYTON, TOWN OF",JEFFERSON COUNTY,06/14/74,06/19/85,04/02/86,06/19/85,No,,,,,No,,,,,,,,,,,,,
360331#,"CLAYTON, VILLAGE OF",JEFFERSON COUNTY,05/31/74,12/01/77,12/01/77,12/01/77,No,,,,,No,,,,,,,,,,,,,
360524#,"CLAYVILLE, VILLAGE OF",ONEIDA COUNTY,05/24/74,07/05/83,09/27/13,06/12/84,No,,,,,No,,,,,,,,,,,,,
361315#,"CLERMONT, TOWNSHIP OF",COLUMBIA COUNTY,11/08/74,09/05/84,09/05/84,09/05/84,No,,,,,No,,,,,,,,,,,,,
360998#,"CLEVELAND, VILLAGE OF",OSWEGO COUNTY,05/31/74,06/01/82,06/18/13,06/01/82,No,,,,,No,,,,,,,,,,,,,
360713#,"CLIFTON PARK, TOWN OF",SARATOGA COUNTY,05/31/74,03/01/84,08/16/95,03/01/84,No,,,Yes,,No,,,,,,,,,,,,,
361450,"CLIFTON SPRINGS, VILLAGE OF",ONTARIO COUNTY,02/07/75,07/23/82,07/23/82(M),07/23/82,No,,,Yes,,No,,,,,,,,,,,,,
361173,"CLIFTON, TOWN OF",ST. LAWRENCE COUNTY,11/29/74,05/15/86,05/15/86(M),05/15/86,No,,,,,No,,,,,,,,,,,,,
361380#,"CLINTON, TOWN OF",CLINTON COUNTY,01/24/75,09/28/07,09/28/07(M),04/18/85,No,,,,,No,,,,,,,,,,,,,
361334#,"CLINTON, TOWN OF",DUTCHESS COUNTY,12/20/74,07/05/84,05/02/12,07/05/84,No,,,Yes,,No,,,,,,,,,,,,,
360525#,"CLINTON, VILLAGE OF",ONEIDA COUNTY,02/15/74,05/01/85,09/27/13,05/01/85,No,,,,,No,,,,,,,,,,,,,
360890#,"CLYDE, VILLAGE OF",WAYNE COUNTY,05/31/74,12/18/84,12/18/84,12/18/84,No,,,,,No,,,,,,,,,,,,,
361369,"CLYMER, TOWN OF",CHAUTAUQUA COUNTY,01/17/75,10/07/83,10/07/83(M),10/07/83,No,,,,,No,,,,,,,,,,,,,
361573#,"COBLESKILL, TOWN OF",SCHOHARIE COUNTY,12/20/74,01/19/83,02/16/12,01/19/83,No,,,,,No,,,,,,,,,,,,,
360743#,"COBLESKILL, VILLAGE OF",SCHOHARIE COUNTY,06/07/74,02/16/83,02/16/12,02/16/83,No,,,Yes,,No,,,,,,,,,,,,,
360817#,"COCHECTON, TOWN OF",SULLIVAN COUNTY,10/08/76,08/19/87,02/18/11,08/19/87,No,,,Yes,,No,,,,,,,,,,,,,
360005A,"COEYMANS, TOWN OF",ALBANY COUNTY,06/28/74,08/03/89,03/16/15,08/03/89,No,,,,,No,,,,,,,,,,,,,
360771#,"COHOCTON, TOWN OF",STEUBEN COUNTY,06/28/74,05/16/83,05/16/83,05/16/83,No,,,,,No,,,,,,,,,,,,,
361556#,"COHOCTON, VILLAGE OF",STEUBEN COUNTY,10/18/74,05/16/83,05/16/83,05/16/83,No,,,,,No,,,,,,,,,,,,,
360006A,"COHOES, CITY OF",ALBANY COUNTY,10/05/73,12/04/79,03/16/15,12/04/79,No,,,Yes,,No,,,,,,,,,,,,,
360191B,"COLCHESTER, TOWN OF",DELAWARE COUNTY,06/28/74,01/03/86,06/16/16,01/03/86,No,,,,,No,,,,,,,,,,,,,
360298#,"COLD BROOK, VILLAGE OF",HERKIMER COUNTY,02/11/77,07/03/85,12/20/00,07/03/85,No,,,,,No,,,,,,,,,,,,,
360064#,"COLD SPRING, TOWN OF",CATTARAUGUS COUNTY,06/21/74,03/01/78,03/01/78,12/21/78,No,,,,,No,,,,,,,,,,,,,
360670#,"COLD SPRING, VILLAGE OF",PUTNAM COUNTY,03/08/74,03/15/84,03/04/13,03/15/84,No,,,,,No,,,,,,,,,,,,,
360233B,"COLDEN, TOWN OF",ERIE COUNTY,05/31/74,07/02/79,06/07/19,07/02/79,No,,,,,No,,,,,,,,,,,,,
360041#,"COLESVILLE, TOWN OF",BROOME COUNTY,06/28/74,01/06/83,01/20/93,01/06/83,No,,,,,No,,,,,,,,,,,,,
360234B,"COLLINS, TOWN OF",ERIE COUNTY,08/02/74,05/16/77,06/07/19,05/16/77,No,,,,,No,,,,,,,,,,,,,
360007A,"COLONIE, TOWN OF",ALBANY COUNTY,09/20/74,09/05/79,03/16/15,09/05/79,No,,,Yes,,No,,,,,,,,,,,,,
365377A,"COLONIE, VILLAGE OF",ALBANY COUNTY,,03/16/15,(NSFHA),03/27/15,No,,,,,No,,,,,,,,,,,,,
361423,"COLTON, TOWN OF",ST. LAWRENCE COUNTY,02/14/75,05/01/85,05/01/85(M),05/01/85,No,,,,,No,,,,,,,,,,,,,
360299,"COLUMBIA, TOWN OF",HERKIMER COUNTY,03/29/74,07/16/82,07/16/82(M),07/16/82,No,,,,,No,,,,,,,,,,,,,
361086#,"COLUMBUS, TOWN OF",CHENANGO COUNTY,10/18/74,04/08/83,11/26/10(M),04/08/83,No,,,,,No,,,,,,,,,,,,,
360235B,"CONCORD, TOWN OF",ERIE COUNTY,08/02/74,02/27/84,06/07/19,02/27/84,No,,,,,No,,,,,,,,,,,,,
360382#,"CONESUS, TOWN OF",LIVINGSTON COUNTY,04/05/74,10/14/77,02/15/91,10/14/77,No,,,,,No,,,,,,,,,,,,,
361606#,"CONESVILLE, TOWN OF",SCHOHARIE COUNTY,,04/02/04,04/02/04,01/31/83,No,,,,,No,,,,,,,,,,,,,
360065#,"CONEWANGO, TOWN OF",CATTARAUGUS COUNTY,07/16/76,07/30/82,07/30/82(M),07/30/82,No,,,,,No,,,,,,,,,,,,,
360042#,"CONKLIN, TOWN OF",BROOME COUNTY,04/05/74,05/16/77,07/17/81,05/16/77,No,,,,,No,,,,,,,,,,,,,
360108#,"CONQUEST, TOWN OF",CAYUGA COUNTY,08/16/74,04/04/83,08/02/07,04/04/83,No,,,,,No,,,,,,,,,,,,,
361395,"CONSTABLE, TOWN OF",FRANKLIN COUNTY,01/03/75,,(NSFHA),02/14/85,No,,,,,No,,,,,,,,,,,,,
360360,"CONSTABLEVILLE, VILLAGE OF",LEWIS COUNTY,05/28/76,07/16/82,07/16/82(M),07/16/82,No,,,,,No,,,,,,,,,,,,,
360648#,"CONSTANTIA, TOWN OF",OSWEGO COUNTY,04/05/74,11/03/82,06/18/13,11/03/82,No,,,,,No,,,,,,,,,,,,,
360665A,"COOPERSTOWN, VILLAGE OF",OTSEGO COUNTY,05/17/74,02/01/88,03/21/17,02/01/88,No,,,Yes,,No,,,,,,,,,,,,,
360174,"COPAKE, TOWN OF",COLUMBIA COUNTY,05/24/74,06/19/85,06/19/85(M),06/19/85,No,,,Yes,,No,,,,,,,,,,,,,
360361,"COPENHAGEN, VILLAGE OF",LEWIS COUNTY,05/10/74,,(NSFHA),07/30/84,No,,,,,No,,,,,,,,,,,,,
361498,"CORFU, VILLAGE OF",GENESEE COUNTY,11/15/74,10/15/85,10/15/85(M),10/15/85,No,,,,,No,,,,,,,,,,,,,
360715#,"CORINTH, TOWN OF",SARATOGA COUNTY,08/02/74,03/01/84,08/16/95,03/01/84,No,,,,,No,,,,,,,,,,,,,
360714#,"CORINTH, VILLAGE OF",SARATOGA COUNTY,08/07/74,03/01/84,08/16/95,03/01/84,No,,,,,No,,,,,,,,,,,,,
360772#,"CORNING, CITY OF",STEUBEN COUNTY,08/24/73,12/01/77,09/27/02,12/01/77,No,,,,,Yes,360772,10/1/1991,5/1/2008,9,5,5,C,,,,,,
360773#,"CORNING, TOWN OF",STEUBEN COUNTY,09/14/73,08/03/81,09/27/02,08/03/81,No,,,,,No,,,,,,,,,,,,,
360610#,"CORNWALL ON THE HUDSON, VILLAGE OF",ORANGE COUNTY,03/08/74,08/02/82,08/03/09,08/02/82,No,,,,,No,,,,,,,,,,,,,
360611#,"CORNWALL, TOWN OF",ORANGE COUNTY,03/29/74,09/30/82,08/03/09,09/30/82,No,,,,,No,,,,,,,,,,,,,
360178#,"CORTLAND, CITY OF",CORTLAND COUNTY,03/29/74,08/15/83,03/02/10,08/15/83,No,,,Yes,,No,,,,,,,,,,,,,
360906#,"CORTLANDT, TOWN OF",WESTCHESTER COUNTY,05/31/74,04/17/85,09/28/07,04/17/85,No,,,Yes,,No,,,,,,,,,,,,,
360179#,"CORTLANDVILLE, TOWN OF",CORTLAND COUNTY,08/30/74,08/15/83,03/02/10,08/15/83,No,,,,,No,,,,,,,,,,,,,
360462#,"COVE NECK, VILLAGE OF",NASSAU COUNTY,10/18/74,07/18/83,09/11/09,07/18/83,No,,,,,No,,,,,,,,,,,,,
361375#,"COVENTRY, TOWN OF",CHENANGO COUNTY,01/17/75,10/15/85,11/26/10(M),10/15/85,No,,,,,No,,,,,,,,,,,,,
360751#,"COVERT, TOWN OF",SENECA COUNTY,07/19/74,06/08/84,06/08/84(M),06/08/84,No,,,,,No,,,,,,,,,,,,,
360942,"COVINGTON, TOWN OF",WYOMING COUNTY,08/02/74,12/23/83,12/23/83(M),12/23/83,No,,,,,No,,,,,,,,,,,,,
361115#,"COXSACKIE, TOWN OF",GREENE COUNTY,12/06/74,09/06/89,05/16/08,09/06/89,No,,,,,No,,,,,,,,,,,,,
360288#,"COXSACKIE, VILLAGE OF",GREENE COUNTY,03/08/74,12/02/83,05/16/08,12/02/83,No,,,,,No,,,,,,,,,,,,,
361250#,"CRAWFORD, TOWN OF",ORANGE COUNTY,11/15/74,09/30/82,08/03/09,09/30/82,No,,,,,No,,,,,,,,,,,,,
360362,"CROGHAN, TOWN OF",LEWIS COUNTY,07/25/75,05/15/85,05/15/85(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
361068,"CROGHAN, VILLAGE OF",LEWIS COUNTY,05/31/74,05/15/85,05/15/85(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
360907#,"CROTON-ON-HUDSON, VILLAGE OF",WESTCHESTER COUNTY,05/10/74,11/02/83,09/28/07,11/02/83,No,,,Yes,,No,,,,,,,,,,,,,
361148#,"CROWN POINT, TOWN OF",ESSEX COUNTY,11/08/74,07/16/87,07/16/87,07/16/87,No,,,,,No,,,,,,,,,,,,,
361099#,"CUBA, TOWN OF",ALLEGANY COUNTY,01/24/75,07/30/82,07/30/82(M),07/30/82,No,,,,,No,,,,,,,,,,,,,
360029#,"CUBA, VILLAGE OF",ALLEGANY COUNTY,05/17/74,04/17/78,04/17/78,04/17/78,No,,,Yes,,No,,,,,,,,,,,,,
361386#,"CUYLER, TOWN OF",CORTLAND COUNTY,02/28/75,05/15/85,03/02/10(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
360845,"DANBY, TOWN OF",TOMPKINS COUNTY,08/02/74,05/15/85,05/15/85(M),05/15/85,No,,,Yes,,No,,,,,,,,,,,,,
